﻿
№;Артикул;Название;Количество;Цена;Прибыль;Сумма;Получатель;Кладовщик;Дата
1;SUS-4006;Шаровая опора ""DriveGear"";6;1360,00;4080,00;8160,00;Мотор-Лайн;Павлова Светлана Евгеньевна;25.04.2026 12:38
2;AS-9007;Антисептик для рук ""CitrusFresh"" с алоэ вера 300мл;7;1437,17;0,00;10060,19;Северный Импорт;Админов Алексей Владимирович;25.04.2026 11:34
3;AS-9004;Антисептик для рук ""SanitizePro"" спрей 500мл;6;840,00;2520,00;5040,00;Городской Таксомоторный Парк №1;Павлова Светлана Евгеньевна;25.04.2026 11:31
4;vvv;wvw;-18;0,00;-16560,00;0,00;Списание;- - -;25.04.2026 11:26
5;BAT-1019;Аккумулятор ""EnergyCore"" 6СТ-60 (60 Ач);-53;0,00;-79500,00;0,00;Списание;- - -;24.04.2026 21:46
6;COF-0001;кофе молотый;23;18390,62;0,00;422984,26;Логистик-Авто Трейд;Админов Алексей Владимирович;23.04.2026 20:32
7;vvv;wvw;-7;0,00;-6440,00;0,00;Списание;Павлова Светлана Евгеньевна;22.04.2026 00:25
8;vvv;wvw;-3;0,00;-2760,00;0,00;Брак;Павлова Светлана Евгеньевна;22.04.2026 00:15
9;vvv;wvw;19;1840,00;17480,00;34960,00;Логистик-Авто Трейд;Павлова Светлана Евгеньевна;22.04.2026 00:15
10;vvv;wvw;7;920,00;0,00;6440,00;АвтоРесурс-Юг;Админов Алексей Владимирович;21.04.2026 22:45
11;ART-0002;черный чай;-3;0,00;-720,15;0,00;Брак;Павлова Светлана Евгеньевна;21.04.2026 17:45
12;ART-0002;черный чай;-6;0,00;-1440,30;0,00;Брак;Павлова Светлана Евгеньевна;21.04.2026 17:21
13;AIR-FILTER-002;Фильтр воздушный;30;450,00;0,00;13500,00;Мотор-Лайн;Павлова Светлана Евгеньевна;21.04.2026 17:08
14;BRAKE-PAD-001;Колодки тормозные передние;20;1200,00;0,00;24000,00;Дизель-Холл;Павлова Светлана Евгеньевна;21.04.2026 17:08
15;OIL-FILTER-001;Фильтр масляный;50;350,00;0,00;17500,00;СпецТрансКомплект;Павлова Светлана Евгеньевна;21.04.2026 17:08
16;ART-0002;черный чай;45;240,03;0,00;10801,35;Северный Импорт;Админов Алексей Владимирович;21.04.2026 16:52
17;vvv;wvw;18;306,67;0,00;5520,06;Мотор-Лайн;Админов Алексей Владимирович;21.04.2026 16:15
18;vvv;wvw;6;258,00;0,00;1548,00;Мотор-Лайн;Админов Алексей Владимирович;21.04.2026 16:03
19;SUS-4002;Амортизатор задний ""DriveGear"" газовый;-6;0,00;-18600,00;0,00;Брак;Павлова Светлана Евгеньевна;20.04.2026 23:39
