﻿
№;Артикул;Название;Количество;Цена(RUB);Прибыль;Сумма;Получатель;Кладовщик;Дата
1;BAT-1002;Аккумулятор ""EnergyCore"" 6СТ-75 (75 Ач);-3;0,00;0,00;0,00;Брак;Павлова Светлана Евгеньевна;26.04.2026 18:50
2;BEL-5001;Ремень поликлиновой ""Belts&Hoses"" 6PK 1810;-2;0,00;-1780,00;0,00;Брак;Павлова Светлана Евгеньевна;26.04.2026 18:50
3;OIL-FILTER-001;Фильтр масляный;50;350,00;0,00;17500,00;СпецТрансКомплект;Админов Алексей Владимирович;25.04.2026 10:43
4;BRAKE-PAD-001;Колодки тормозные передние;20;1200,00;0,00;24000,00;Дизель-Холл;Админов Алексей Владимирович;25.04.2026 10:43
5;AIR-FILTER-002;Фильтр воздушный;30;450,00;0,00;13500,00;Мотор-Лайн;Админов Алексей Владимирович;25.04.2026 10:43
6;SUS-4006;Шаровая опора ""DriveGear"";6;1360,00;4080,00;8160,00;Мотор-Лайн;Павлова Светлана Евгеньевна;25.04.2026 10:38
7;AS-9007;Антисептик для рук ""CitrusFresh"" с алоэ вера 300мл;7;1437,17;0,00;10060,19;Северный Импорт;Админов Алексей Владимирович;25.04.2026 09:34
8;AS-9004;Антисептик для рук ""SanitizePro"" спрей 500мл;6;840,00;2520,00;5040,00;Городской Таксомоторный Парк №1;Павлова Светлана Евгеньевна;25.04.2026 09:31
9;vvv;wvw;-18;0,00;-16560,00;0,00;Списание;- - -;25.04.2026 09:26
10;BAT-1019;Аккумулятор ""EnergyCore"" 6СТ-60 (60 Ач);-53;0,00;-79500,00;0,00;Списание;- - -;24.04.2026 19:46
11;COF-0001;кофе молотый;23;18390,62;0,00;422984,26;Логистик-Авто Трейд;Админов Алексей Владимирович;23.04.2026 18:32
12;vvv;wvw;-7;0,00;-6440,00;0,00;Списание;Павлова Светлана Евгеньевна;21.04.2026 22:25
13;vvv;wvw;-3;0,00;-2760,00;0,00;Брак;Павлова Светлана Евгеньевна;21.04.2026 22:15
14;vvv;wvw;19;1840,00;17480,00;34960,00;Логистик-Авто Трейд;Павлова Светлана Евгеньевна;21.04.2026 22:15
15;vvv;wvw;7;920,00;0,00;6440,00;АвтоРесурс-Юг;Админов Алексей Владимирович;21.04.2026 20:45
16;ART-0002;черный чай;-3;0,00;-720,15;0,00;Брак;Павлова Светлана Евгеньевна;21.04.2026 15:45
17;ART-0002;черный чай;-6;0,00;-1440,30;0,00;Брак;Павлова Светлана Евгеньевна;21.04.2026 15:21
18;AIR-FILTER-002;Фильтр воздушный;30;450,00;0,00;13500,00;Мотор-Лайн;Павлова Светлана Евгеньевна;21.04.2026 15:08
19;BRAKE-PAD-001;Колодки тормозные передние;20;1200,00;0,00;24000,00;Дизель-Холл;Павлова Светлана Евгеньевна;21.04.2026 15:08
20;OIL-FILTER-001;Фильтр масляный;50;350,00;0,00;17500,00;СпецТрансКомплект;Павлова Светлана Евгеньевна;21.04.2026 15:08
21;ART-0002;черный чай;45;240,03;0,00;10801,35;Северный Импорт;Админов Алексей Владимирович;21.04.2026 14:52
22;vvv;wvw;18;306,67;0,00;5520,06;Мотор-Лайн;Админов Алексей Владимирович;21.04.2026 14:15
23;vvv;wvw;6;258,00;0,00;1548,00;Мотор-Лайн;Админов Алексей Владимирович;21.04.2026 14:03
24;SUS-4002;Амортизатор задний ""DriveGear"" газовый;-6;0,00;-18600,00;0,00;Брак;Павлова Светлана Евгеньевна;20.04.2026 21:39
25;BAT-1019;Аккумулятор ""EnergyCore"" 6СТ-60 (60 Ач);36;1500,00;0,00;54000,00;Западный Склад;Админов Алексей Владимирович;20.04.2026 21:37
